vb_code;ff_code;treatment_code;litter_sp;mesh_size;litter_mass_loss_final;notes
VB050;FF298;S1;Alder;Fine;0,456155142;
VB050;FF299;S2;Hazel;Fine;0,56705069;
VB050;FF300;S3;Chestnut;Fine;0,30144274;
VB050;FF301;M1;Alder;Medium;0,638567416;
VB050;FF302;M2;Hazel;Medium;0,952146953;
VB050;FF303;M3;Chestnut;Medium;NA;negative value
VB050;FF304;L1;Alder;Coarse;0,55307344;
VB050;FF305;L2;Hazel;Coarse;NA;Not found in the lab
VB050;FF306;L3;Chestnut;Coarse;0,246098667;
VB051;FF307;S1;Alder;Fine;0,449401772;
VB051;FF308;S2;Hazel;Fine;0,689726143;
VB051;FF309;S3;Chestnut;Fine;0,246466962;
VB051;FF310;M1;Alder;Medium;0,700409788;
VB051;FF311;M2;Hazel;Medium;0,926648159;
VB051;FF312;M3;Chestnut;Medium;0,304631379;
VB051;FF313;L1;Alder;Coarse;0,938266259;
VB051;FF314;L2;Hazel;Coarse;0,761284798;
VB051;FF315;L3;Chestnut;Coarse;0,060722124;
VB052;FF316;S1;Alder;Fine;0,526319726;
VB052;FF317;S2;Hazel;Fine;0,465215944;
VB052;FF318;S3;Chestnut;Fine;0,239701289;
VB052;FF319;M1;Alder;Medium;0,705235292;
VB052;FF320;M2;Hazel;Medium;0,522010544;
VB052;FF321;M3;Chestnut;Medium;0,197265661;
VB052;FF322;L1;Alder;Coarse;0,947164817;
VB052;FF323;L2;Hazel;Coarse;0,978833135;
VB052;FF324;L3;Chestnut;Coarse;0,203594913;
